series_id                     	year	period	       value	footnote_codes
JTS000000000000000QUL         	2000	M12	        2868	
JTS000000000000000QUL         	2001	M01	        3261	
JTS000000000000000QUL         	2001	M02	        3040	
JTS000000000000000QUL         	2001	M03	        3041	
JTS000000000000000QUL         	2001	M04	        3172	
JTS000000000000000QUL         	2001	M05	        2991	
JTS000000000000000QUL         	2001	M06	        2886	
JTS000000000000000QUL         	2001	M07	        2969	
JTS000000000000000QUL         	2001	M08	        2933	
JTS000000000000000QUL         	2001	M09	        2704	
JTS000000000000000QUL         	2001	M10	        2798	
JTS000000000000000QUL         	2001	M11	        2544	
JTS000000000000000QUL         	2001	M12	        2553	
JTS000000000000000QUL         	2002	M01	        2857	
JTS000000000000000QUL         	2002	M02	        2558	
JTS000000000000000QUL         	2002	M03	        2479	
JTS000000000000000QUL         	2002	M04	        2633	
JTS000000000000000QUL         	2002	M05	        2536	
JTS000000000000000QUL         	2002	M06	        2529	
JTS000000000000000QUL         	2002	M07	        2579	
JTS000000000000000QUL         	2002	M08	        2567	
JTS000000000000000QUL         	2002	M09	        2522	
JTS000000000000000QUL         	2002	M10	        2426	
JTS000000000000000QUL         	2002	M11	        2388	
JTS000000000000000QUL         	2002	M12	        2490	
JTS000000000000000QUL         	2003	M01	        2436	
JTS000000000000000QUL         	2003	M02	        2473	
JTS000000000000000QUL         	2003	M03	        2382	
JTS000000000000000QUL         	2003	M04	        2289	
JTS000000000000000QUL         	2003	M05	        2290	
JTS000000000000000QUL         	2003	M06	        2322	
JTS000000000000000QUL         	2003	M07	        2283	
JTS000000000000000QUL         	2003	M08	        2201	
JTS000000000000000QUL         	2003	M09	        2357	
JTS000000000000000QUL         	2003	M10	        2421	
JTS000000000000000QUL         	2003	M11	        2395	
JTS000000000000000QUL         	2003	M12	        2436	
JTS000000000000000QUL         	2004	M01	        2360	
JTS000000000000000QUL         	2004	M02	        2437	
JTS000000000000000QUL         	2004	M03	        2573	
JTS000000000000000QUL         	2004	M04	        2541	
JTS000000000000000QUL         	2004	M05	        2427	
JTS000000000000000QUL         	2004	M06	        2667	
JTS000000000000000QUL         	2004	M07	        2631	
