series_id                     ,year,period,       value,footnote_codes
JTS000000000000000QUL         ,2000,M12,2868.0,
JTS000000000000000QUL         ,2001,M01,3261.0,
JTS000000000000000QUL         ,2001,M02,3040.0,
JTS000000000000000QUL         ,2001,M03,3041.0,
JTS000000000000000QUL         ,2001,M04,3172.0,
JTS000000000000000QUL         ,2001,M05,2991.0,
JTS000000000000000QUL         ,2001,M06,2886.0,
JTS000000000000000QUL         ,2001,M07,2969.0,
JTS000000000000000QUL         ,2001,M08,2933.0,
JTS000000000000000QUL         ,2001,M09,2704.0,
JTS000000000000000QUL         ,2001,M10,2798.0,
JTS000000000000000QUL         ,2001,M11,2544.0,
JTS000000000000000QUL         ,2001,M12,2553.0,
JTS000000000000000QUL         ,2002,M01,2857.0,
JTS000000000000000QUL         ,2002,M02,2558.0,
JTS000000000000000QUL         ,2002,M03,2479.0,
JTS000000000000000QUL         ,2002,M04,2633.0,
JTS000000000000000QUL         ,2002,M05,2536.0,
JTS000000000000000QUL         ,2002,M06,2529.0,
JTS000000000000000QUL         ,2002,M07,2579.0,
JTS000000000000000QUL         ,2002,M08,2567.0,
JTS000000000000000QUL         ,2002,M09,2522.0,
JTS000000000000000QUL         ,2002,M10,2426.0,
JTS000000000000000QUL         ,2002,M11,2388.0,
JTS000000000000000QUL         ,2002,M12,2490.0,
JTS000000000000000QUL         ,2003,M01,2436.0,
JTS000000000000000QUL         ,2003,M02,2473.0,
JTS000000000000000QUL         ,2003,M03,2382.0,
JTS000000000000000QUL         ,2003,M04,2289.0,
JTS000000000000000QUL         ,2003,M05,2290.0,
JTS000000000000000QUL         ,2003,M06,2322.0,
JTS000000000000000QUL         ,2003,M07,2283.0,
JTS000000000000000QUL         ,2003,M08,2201.0,
JTS000000000000000QUL         ,2003,M09,2357.0,
JTS000000000000000QUL         ,2003,M10,2421.0,
JTS000000000000000QUL         ,2003,M11,2395.0,
JTS000000000000000QUL         ,2003,M12,2436.0,
JTS000000000000000QUL         ,2004,M01,2360.0,
JTS000000000000000QUL         ,2004,M02,2437.0,
JTS000000000000000QUL         ,2004,M03,2573.0,
JTS000000000000000QUL         ,2004,M04,2541.0,
JTS000000000000000QUL         ,2004,M05,2427.0,
